marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,11272027,R36Z5AIJXR3VXN,B000NYL1Z6,166146615,Murad Clarifying Cleanser,Beauty,5,0,0,N,Y,good product,"It shipped in about 2 weeks. It is an excellent cleanser, and it works great for my skin, I have oily and acne prone, and I have been using it for over a month and my face has cleared up very well, I'm so happy with this cleanser and would definitely recommend it.",7/27/2011
US,42318818,R39ABRBFHR9HIO,B00VXHY6KY,546527800,"Majestic Pure Essential Oil, 100% Pure and Natural with Therapeutic Grade, Premium Quality Oil 4fl",Beauty,5,0,0,N,Y,but I really like the price and the dropper,"It doesn't seem as strong as other tea tree oils I have purchased, but I really like the price and the dropper.",8/31/2015
US,18551811,R3SRUOY8ETBDFL,B009ESL1SY,964968057,Skulls and Roses Ed Hardy Eau De Parfums for Women,Beauty,5,0,0,N,Y,Five Stars,Was a gift. My friends loved it,8/31/2015
US,10922136,R3HPEKBNBCWU33,B005F2EVMQ,255803087,"Bifesta Mandom Eye Makeup Remover, 145ml",Beauty,5,1,1,N,Y,Best eye makeup remover I ever used (well,"Best eye makeup remover I ever used (well, at this price level it is the best). So gentle and works so quick!",3/27/2015
US,10470686,RMJ5BVBFCA4D4,B00KYUXIOG,323338337,YEOUTH Best Anti Aging Vitamin C Serum with Hyaluronic Acid & Tripeptide 31 Trumps ALL Others. 100% Guaranteed,Beauty,2,0,1,N,Y,Two Stars,Didn't see a difference in skin after weeks of use.,8/29/2015
US,22254633,R107UCY9A9ITZH,B004QM0OJ0,296319484,TheraBreath Dry Mouth Lozenges,Beauty,5,0,0,N,Y,Five Stars,Very good.,8/8/2015
US,10678093,R1C29UY6PWFRL2,B003UKKH6O,10034795,Oral-B Vitality Prowhite Rechargeable Electric Toothbrush 1 Count,Beauty,5,0,0,N,Y,Five Stars,Excellent!,3/2/2015
US,47949297,R3N1297P9K33UG,B00SM99KWU,116158747,Biore UV Aqua Rich Watery Essence SPF50+/PA++++ (pack of 2),Beauty,5,0,0,N,Y,Best sunscreen I've found.,"Seriously great stuff- goes on like a comfortable moisturizer, sits beautifully under foundation, and keeps those pesky wrinkles away. Couldn't ask for a better sunscreen for dry skin.",5/23/2015
US,5471625,R1DGDSWFLZYZ0Q,B003UKKH6O,10034795,Oral-B Vitality Prowhite Rechargeable Electric Toothbrush 1 Count,Beauty,5,0,0,N,Y,Five Stars,I love this.,4/22/2015
US,40361147,R2V57IWBUF5NEG,B00SM99KWU,116158747,Biore UV Aqua Rich Watery Essence SPF50+/PA++++ (pack of 2),Beauty,5,0,0,N,Y,Really good,Light weight. It kept my makeup stay put for longer too.,6/21/2015
US,20644889,R30HQS9H0E1LHD,B00SAQ9DZY,292127037,"12 New, High Quality, Amber 2 ml (5/8 Dram) Glass Bottles, with Orifice Reducer and Black Cap.",Beauty,5,0,0,N,Y,Nice little glass bottles!,"These were just what I needed for my oil blends. They are small, just like I was looking for, and seem to be a very nice quality as well. They work like a charm!",8/9/2015
US,11052464,RU7PLFATQ6XHH,B00KCFAZTE,100743892,"InstaNatural Eye Gel Cream - Wrinkle, Dark Circle, Fine Line & Redness Reducer - Pure & Organic Anti Aging Blend for Men & Women with Hyaluronic Acid - Fight Bags & Lift Skin Under Eyes – 50ml…",Beauty,5,0,0,N,Y,Five Stars,Bought it for my husband and he seems to like it.,8/31/2015
US,15932913,R34BXNH6MPJBBJ,B009ESL1SY,964968057,Skulls and Roses Ed Hardy Eau De Parfums for Women,Beauty,5,0,0,N,Y,Five Stars,Love,7/5/2015
US,31482330,R13PM1SUMFR4QW,B00SMIIR0W,351973146,Schick Hydro Silk TrimStyle Moisturizing Razor,Beauty,5,0,0,N,Y,love it,I do my own Brazilian wax but leave a small landing strip. This is perfect to keep the strip short and well groomed. The razor is awesome for shaving my legs.,8/2/2015
US,18773689,RWBW8IV6X4XBI,B00112TIIQ,497314489,"Clubman Superhold Styling Gel, 16 oz",Beauty,5,1,1,N,Y,Satisfied,"Very nice hair gel. Pleasing scent, holds my medium longish hair down all day. I've noticed that I don't have to use as much as other gels to keep my hair down, and it doesn't become as cement-like when you do. Holds my hair down even when I'm at work sweating all day. It also washes out easier than other gels at the end of the day, so easier to clean up also. Would recommend to a friend.",8/31/2015
US,32937255,RMUFK8LU3UA8G,B00D9NV2D4,794858888,Shea Butter,Beauty,5,0,0,N,Y,Awesome Shea Butter,Worked really well for a lotion I was making; had the perfect consistency!,8/15/2015
US,50697732,R2UQ1A7GELYBYH,B005F2EVMQ,255803087,"Bifesta Mandom Eye Makeup Remover, 145ml",Beauty,5,25,26,N,N,Amazing,"I didn't buy this product from Amazon; I actually bought it in Japan, but I just had to let everyone know how awesome this cleanser is. Japanese women wear a lot of makeup during the day and most of the makeup on the shelves there are very waterproof to combat the high humidity during the summers. I found this product after testing it in a store once and I can't really do it justice by a written review, that's just how awesome it is. It takes off even the most stubborn of waterproof makeup with one swipe. I like to use 1 full pump on a cotton pad and wipe at my makeup; that seems to work the best for me. My mother pumps it directly on to her hand and scrubs it on her face which also works great too but I like to physically see how much dirt and grime comes off my face at the end of the day to really trust that my face is clean. I use this before I wash my face to have a squeaky clean face before bed. I LOVE it. And it lasts for a while; I got mine in June and it's now November with half a bottle to go. I'd definitely recommend this to any girl who wears makeup and likes to sleep with a clean face every night.",11/5/2013
US,106879,R2ZFYF38D5Y9YS,B004J2P6D6,496393111,E.L.F Powder Puffs,Beauty,4,0,0,N,Y,They're okay...,"These powder puffs are pretty much okay, I just wish they were fluffier and bigger.",8/31/2015
US,11439288,R8ILMHOWUXM3W,B00112TIIQ,497314489,"Clubman Superhold Styling Gel, 16 oz",Beauty,4,0,0,N,Y,Four Stars,like it,8/16/2015
